CreditStatus,DurationMonth,CreditHistory,Purpose,CreditAmount,InstallmentRate,Age,OtherInstallmentPlans,Housing,NumExistingCredits,Job
1,12,A34,A49,1264,4,57,A143,A151,1,A172
1,12,A32,A42,1474,4,33,A141,A152,1,A174
2,45,A34,A43,4746,4,25,A143,A152,2,A172
1,48,A34,A46,6110,1,31,A141,A153,1,A173
2,18,A32,A43,2100,4,37,A142,A152,1,A173
1,10,A32,A44,1225,2,37,A143,A152,1,A173
1,9,A32,A43,458,4,24,A143,A152,1,A173
1,30,A32,A43,2333,4,30,A141,A152,1,A174
1,12,A32,A43,1158,3,26,A143,A152,1,A173
1,18,A33,A45,6204,2,44,A143,A152,1,A172
1,30,A34,A41,6187,1,24,A143,A151,2,A173
2,48,A34,A41,6143,4,58,A142,A153,2,A172
1,11,A34,A40,1393,4,35,A143,A152,2,A174
1,36,A32,A43,2299,4,39,A143,A152,1,A173
1,6,A32,A41,1352,1,23,A143,A151,1,A171
1,11,A34,A40,7228,1,39,A143,A152,2,A172
1,12,A32,A43,2073,4,28,A143,A152,1,A173
1,24,A33,A42,2333,4,29,A141,A152,1,A172
1,27,A33,A41,5965,1,30,A143,A152,2,A174
1,12,A32,A43,1262,3,25,A143,A152,1,A173
1,18,A32,A41,3378,2,31,A143,A152,1,A173
2,36,A33,A40,2225,4,57,A141,A153,2,A173
1,6,A31,A40,783,1,26,A142,A152,1,A172
2,12,A32,A43,6468,2,52,A143,A152,1,A174
1,36,A34,A43,9566,2,31,A142,A152,2,A173
1,18,A32,A40,1961,3,23,A143,A152,1,A174
2,36,A34,A42,6229,4,23,A143,A151,2,A172
1,9,A32,A49,1391,2,27,A141,A152,1,A173
1,15,A34,A43,1537,4,50,A143,A152,2,A173
2,36,A30,A49,1953,4,61,A143,A153,1,A174
2,48,A30,A49,14421,2,25,A143,A152,1,A173
1,24,A32,A43,3181,4,26,A143,A152,1,A173
1,27,A32,A45,5190,4,48,A143,A152,4,A173
1,12,A32,A43,2171,2,29,A141,A152,1,A173
1,12,A32,A40,1007,4,22,A143,A152,1,A173
2,36,A32,A46,1819,4,37,A142,A153,1,A173
1,36,A32,A43,2394,4,25,A143,A152,1,A173
1,36,A32,A41,8133,1,30,A141,A152,1,A173
1,7,A34,A43,730,4,46,A143,A151,2,A172
1,8,A34,A410,1164,3,51,A141,A153,2,A174
1,42,A34,A49,5954,2,41,A141,A152,2,A172
2,36,A32,A46,1977,4,40,A143,A152,1,A174
1,12,A34,A41,1526,4,66,A143,A153,2,A174
2,42,A32,A43,3965,4,34,A143,A152,1,A173
1,11,A33,A43,4771,2,51,A143,A152,1,A173
1,54,A30,A41,9436,2,39,A143,A152,1,A172
1,30,A32,A42,3832,2,22,A143,A152,1,A173
2,24,A32,A43,5943,1,44,A143,A152,2,A173
1,15,A32,A43,1213,4,47,A142,A152,1,A173
1,18,A32,A49,1568,3,24,A143,A151,1,A172
1,24,A32,A410,1755,4,58,A143,A152,1,A172
1,10,A32,A43,2315,3,52,A143,A152,1,A172
1,12,A34,A49,1412,4,29,A143,A152,2,A174
1,18,A34,A42,1295,4,27,A143,A152,2,A173
2,36,A32,A46,12612,1,47,A143,A153,1,A173
1,18,A32,A40,2249,4,30,A143,A152,1,A174
2,12,A30,A45,1108,4,28,A143,A152,2,A173
1,12,A34,A43,618,4,56,A143,A152,1,A173
1,12,A34,A41,1409,4,54,A143,A152,1,A173
2,12,A34,A43,797,4,33,A141,A152,1,A172
1,24,A34,A42,3617,4,20,A143,A151,2,A173
1,12,A32,A40,1318,4,54,A143,A152,1,A173
2,54,A30,A49,15945,3,58,A143,A151,1,A173
1,12,A34,A46,2012,4,61,A143,A152,1,A173
1,18,A32,A49,2622,4,34,A143,A152,1,A173
1,36,A34,A43,2337,4,36,A143,A152,1,A173
1,20,A33,A41,7057,3,36,A141,A151,2,A174
1,24,A32,A40,1469,4,41,A143,A151,1,A172
1,36,A32,A43,2323,4,24,A143,A151,1,A173
1,6,A33,A43,932,3,24,A143,A152,1,A173
1,9,A34,A42,1919,4,35,A143,A151,1,A173
1,12,A32,A41,2445,2,26,A143,A151,1,A173
2,24,A34,A410,11938,2,39,A143,A152,2,A174
2,18,A31,A40,6458,2,39,A141,A152,2,A174
1,12,A32,A40,6078,2,32,A143,A152,1,A173
1,24,A32,A42,7721,1,30,A143,A152,1,A173
1,14,A32,A49,1410,1,35,A143,A152,1,A173
1,6,A33,A49,1449,1,31,A141,A152,2,A173
1,15,A32,A46,392,4,23,A143,A151,1,A173
1,18,A32,A40,6260,3,28,A143,A151,1,A172
2,36,A34,A40,7855,4,25,A142,A152,2,A173
1,12,A32,A43,1680,3,35,A143,A152,1,A173
1,48,A34,A43,3578,4,47,A143,A152,1,A173
2,42,A32,A43,7174,4,30,A143,A152,1,A174
1,10,A34,A42,2132,2,27,A143,A151,2,A173
2,33,A34,A42,4281,1,23,A143,A152,2,A173
1,12,A34,A40,2366,3,36,A143,A152,1,A174
2,21,A32,A43,1835,3,25,A143,A152,2,A173
1,24,A34,A41,3868,4,41,A143,A151,2,A174
1,12,A32,A42,1768,3,24,A143,A151,1,A172
1,10,A34,A40,781,4,63,A143,A153,2,A173
2,18,A32,A42,1924,4,27,A143,A151,1,A173
1,12,A34,A40,2121,4,30,A143,A152,2,A173
1,12,A32,A43,701,4,40,A143,A152,1,A172
2,12,A32,A45,639,4,30,A143,A152,1,A173
1,12,A34,A41,1860,4,34,A143,A152,2,A174
2,12,A34,A40,3499,3,29,A143,A152,2,A173
1,48,A32,A40,8487,1,24,A143,A152,1,A173
2,36,A33,A46,6887,4,29,A142,A152,1,A173
1,15,A32,A42,2708,2,27,A141,A152,2,A172
1,18,A32,A42,1984,4,47,A141,A153,2,A173
1,60,A32,A43,10144,2,21,A143,A152,1,A173
1,12,A34,A43,1240,4,38,A143,A152,2,A173
1,27,A33,A41,8613,2,27,A143,A152,2,A173
2,12,A32,A43,766,4,66,A143,A152,1,A172
1,15,A34,A43,2728,4,35,A141,A152,3,A173
1,12,A32,A43,1881,2,44,A143,A151,1,A172
1,6,A32,A40,709,2,27,A143,A152,1,A171
1,36,A32,A43,4795,4,30,A143,A152,1,A174
1,27,A32,A43,3416,3,27,A143,A152,1,A174
2,18,A32,A42,2462,2,22,A143,A152,1,A173
1,21,A34,A42,2288,4,23,A143,A152,1,A173
1,48,A31,A49,3566,4,30,A143,A152,1,A173
1,6,A34,A40,860,1,39,A143,A152,2,A173
1,12,A34,A40,682,4,51,A143,A152,2,A173
1,36,A34,A42,5371,3,28,A143,A152,2,A173
1,18,A34,A43,1582,4,46,A143,A152,2,A173
1,6,A32,A43,1346,2,42,A141,A153,1,A173
1,10,A32,A43,1924,1,38,A143,A152,1,A173
1,36,A32,A43,5848,4,24,A143,A152,1,A173
1,24,A34,A41,7758,2,29,A143,A151,1,A173
1,24,A33,A49,6967,4,36,A143,A151,1,A174
2,12,A32,A42,1282,2,20,A143,A151,1,A173
1,9,A34,A45,1288,3,48,A143,A152,2,A173
1,12,A31,A48,339,4,45,A141,A152,1,A172
1,24,A32,A40,3512,2,38,A141,A152,2,A173
1,6,A34,A43,1898,1,34,A143,A152,2,A172
1,24,A34,A43,2872,3,36,A143,A152,1,A173
1,18,A34,A40,1055,4,30,A143,A152,2,A173
1,15,A32,A44,1262,4,36,A143,A152,2,A173
1,10,A32,A40,7308,2,70,A141,A153,1,A174
1,36,A32,A40,909,4,36,A143,A152,1,A173
1,6,A32,A42,2978,1,32,A143,A152,1,A173
2,18,A32,A42,1131,4,33,A143,A152,1,A173
1,11,A32,A42,1577,4,20,A143,A152,1,A173
1,24,A32,A42,3972,2,25,A143,A151,1,A173
2,24,A34,A49,1935,4,31,A143,A152,2,A173
2,15,A30,A40,950,4,33,A143,A151,2,A173
1,12,A32,A42,763,4,26,A143,A152,1,A173
2,24,A33,A42,2064,3,34,A143,A152,1,A174
1,8,A32,A43,1414,4,33,A143,A152,1,A173
2,21,A33,A46,3414,2,26,A143,A152,2,A173
2,30,A31,A41,7485,4,53,A141,A152,1,A174
1,12,A32,A42,2577,2,42,A143,A152,1,A173
1,6,A34,A43,338,4,52,A143,A152,2,A173
1,12,A32,A43,1963,4,31,A143,A151,2,A174
1,21,A34,A40,571,4,65,A143,A152,2,A173
2,36,A33,A49,9572,1,28,A143,A152,2,A173
2,36,A33,A49,4455,2,30,A142,A152,2,A174
2,21,A31,A40,1647,4,40,A143,A152,2,A172
1,24,A34,A42,3777,4,50,A143,A152,1,A173
2,18,A34,A40,884,4,36,A141,A152,1,A173
1,15,A34,A43,1360,4,31,A143,A152,2,A173
2,9,A31,A41,5129,2,74,A141,A153,1,A174
1,16,A34,A40,1175,2,68,A143,A153,3,A171
2,12,A32,A43,674,4,20,A143,A152,1,A173
1,18,A30,A42,3244,1,33,A141,A152,2,A173
2,24,A32,A49,4591,2,54,A143,A152,3,A174
2,48,A30,A49,3844,4,34,A143,A153,1,A172
2,27,A32,A49,3915,4,36,A143,A152,1,A173
1,6,A32,A43,2108,2,29,A143,A151,1,A173
2,45,A32,A43,3031,4,21,A143,A151,1,A173
2,9,A34,A46,1501,2,34,A143,A152,2,A174
1,6,A34,A43,1382,1,28,A143,A152,2,A173
2,12,A32,A42,951,4,27,A141,A151,4,A173
1,24,A32,A41,2760,4,36,A141,A153,1,A173
2,18,A33,A42,4297,4,40,A143,A152,1,A174
1,9,A34,A46,936,4,52,A143,A152,2,A173
1,12,A32,A40,1168,4,27,A143,A152,1,A172
1,27,A33,A49,5117,3,26,A143,A152,2,A173
2,12,A32,A48,902,4,21,A143,A151,1,A173
1,12,A34,A40,1495,4,38,A143,A152,2,A172
1,30,A34,A41,10623,3,38,A143,A153,3,A174
1,12,A34,A42,1935,4,43,A143,A152,3,A173
1,12,A34,A44,1424,4,26,A143,A152,1,A173
1,24,A32,A49,6568,2,21,A142,A152,1,A172
1,12,A32,A41,1413,3,55,A143,A152,1,A173
1,9,A34,A43,3074,1,33,A143,A152,2,A173
1,36,A32,A43,3835,2,45,A143,A152,1,A172
2,27,A30,A49,5293,2,50,A142,A152,2,A173
2,30,A33,A49,1908,4,66,A143,A152,1,A174
1,36,A34,A43,3342,4,51,A143,A152,1,A173
1,6,A34,A48,932,1,39,A143,A152,2,A172
1,18,A30,A49,3104,3,31,A141,A152,1,A173
1,36,A32,A43,3913,2,23,A143,A152,1,A173
1,24,A32,A42,3021,2,24,A143,A151,1,A172
1,10,A32,A40,1364,2,64,A143,A152,1,A173
1,12,A32,A43,625,4,26,A141,A152,1,A172
1,12,A32,A46,1200,4,23,A141,A151,1,A173
1,12,A32,A43,707,4,30,A141,A152,2,A173
1,24,A33,A49,2978,4,32,A143,A152,2,A173
1,15,A32,A41,4657,3,30,A143,A152,1,A173
1,36,A30,A45,2613,4,27,A143,A152,2,A173
2,48,A32,A43,10961,1,27,A141,A152,2,A173
2,12,A32,A42,7865,4,53,A143,A153,1,A174
2,9,A32,A43,1478,4,22,A143,A152,1,A173
1,24,A32,A42,3149,4,22,A141,A153,1,A173
2,36,A32,A43,4210,4,26,A143,A152,1,A173
1,9,A32,A40,2507,2,51,A143,A153,1,A172
1,12,A32,A43,2141,3,35,A143,A152,1,A173
1,18,A32,A43,866,4,25,A143,A152,1,A172
1,4,A34,A43,1544,2,42,A143,A152,3,A172
2,24,A32,A43,1823,4,30,A142,A152,1,A174
2,6,A32,A40,14555,1,23,A143,A152,1,A171
2,21,A32,A49,2767,4,61,A141,A151,2,A172
1,12,A34,A43,1291,4,35,A143,A152,2,A173
1,30,A32,A43,2522,1,39,A143,A152,1,A173
2,24,A32,A40,915,4,29,A141,A152,1,A173
1,6,A32,A43,1595,3,51,A143,A152,1,A173
2,48,A30,A41,4605,3,24,A143,A153,2,A173
1,12,A34,A49,1185,3,27,A143,A152,2,A173
1,12,A31,A48,3447,4,35,A143,A152,1,A172
1,24,A32,A49,1258,4,25,A143,A152,1,A173
1,12,A34,A43,717,4,52,A143,A152,3,A173
1,6,A30,A40,1204,4,35,A141,A151,1,A173
1,24,A32,A42,1925,2,26,A143,A152,1,A173
2,18,A32,A43,433,3,22,A143,A151,1,A173
1,6,A34,A40,666,3,39,A143,A152,2,A172
1,12,A32,A42,2251,1,46,A143,A152,1,A172
2,30,A32,A40,2150,4,24,A141,A152,1,A173
1,24,A33,A42,4151,2,35,A143,A152,2,A173
1,9,A32,A42,2030,2,24,A143,A152,1,A173
1,60,A33,A43,7418,1,27,A143,A152,1,A172
1,24,A34,A43,2684,4,35,A143,A152,2,A172
2,12,A31,A43,2149,4,29,A143,A153,1,A173
1,15,A32,A41,3812,1,23,A143,A152,1,A173
1,11,A34,A43,1154,4,57,A143,A152,3,A172
1,12,A32,A42,1657,2,27,A143,A152,1,A173
1,24,A32,A43,1603,4,55,A143,A152,1,A173
1,18,A34,A40,5302,2,36,A143,A153,3,A174
1,12,A34,A46,2748,2,57,A141,A153,3,A172
1,10,A34,A40,1231,3,32,A143,A152,2,A172
2,15,A32,A43,802,4,37,A143,A152,1,A173
1,36,A34,A49,6304,4,36,A143,A152,2,A173
1,24,A32,A43,1533,4,38,A142,A152,1,A173
2,14,A32,A40,8978,1,45,A143,A152,1,A174
1,24,A32,A43,999,4,25,A143,A152,2,A173
1,18,A32,A40,2662,4,32,A143,A152,1,A173
1,12,A34,A42,1402,3,37,A143,A151,1,A173
1,48,A31,A40,12169,4,36,A143,A153,1,A174
2,48,A32,A43,3060,4,28,A143,A152,2,A173
2,30,A32,A45,11998,1,34,A143,A152,1,A172
1,9,A32,A43,2697,1,32,A143,A152,1,A173
1,18,A34,A43,2404,2,26,A143,A152,2,A173
1,12,A32,A42,1262,2,49,A143,A152,1,A172
2,6,A32,A42,4611,1,32,A143,A152,1,A173
1,24,A32,A43,1901,4,29,A143,A151,1,A174
1,15,A34,A41,3368,3,23,A143,A151,2,A173
1,12,A32,A42,1574,4,50,A143,A152,1,A173
1,18,A31,A43,1445,4,49,A141,A152,1,A172
1,15,A34,A42,1520,4,63,A143,A152,1,A173
1,24,A34,A40,3878,4,37,A143,A152,1,A173
1,47,A32,A40,10722,1,35,A143,A152,1,A172
1,48,A32,A41,4788,4,26,A143,A152,1,A173
1,48,A33,A410,7582,2,31,A143,A153,1,A174
1,12,A32,A43,1092,4,49,A143,A152,2,A173
2,24,A33,A43,1024,4,48,A142,A152,1,A173
1,12,A32,A49,1076,2,26,A143,A152,1,A173
2,36,A32,A41,9398,1,28,A143,A151,1,A174
1,24,A34,A41,6419,2,44,A143,A153,2,A174
1,42,A34,A41,4796,4,56,A143,A153,1,A173
1,48,A34,A49,7629,4,46,A141,A152,2,A174
2,48,A32,A42,9960,1,26,A143,A152,1,A173
1,12,A32,A41,4675,1,20,A143,A151,1,A173
1,10,A32,A40,1287,4,45,A143,A152,1,A172
1,18,A32,A42,2515,3,43,A143,A152,1,A173
1,21,A34,A42,2745,3,32,A143,A152,2,A173
1,6,A32,A40,672,1,54,A143,A152,1,A171
2,36,A30,A43,3804,4,42,A143,A152,1,A173
2,24,A34,A40,1344,4,37,A141,A152,2,A172
1,10,A34,A40,1038,4,49,A143,A152,2,A173
2,48,A34,A40,10127,2,44,A141,A153,1,A173
1,6,A32,A42,1543,4,33,A143,A152,1,A173
1,30,A32,A41,4811,2,24,A142,A151,1,A172
2,12,A32,A43,727,4,33,A143,A152,1,A172
2,8,A32,A42,1237,3,24,A143,A152,1,A173
1,9,A32,A40,276,4,22,A143,A151,1,A172
1,48,A32,A410,5381,3,40,A141,A153,1,A171
1,24,A32,A42,5511,4,25,A142,A152,1,A173
1,24,A32,A42,3749,2,26,A143,A152,1,A173
2,12,A32,A40,685,2,25,A141,A152,1,A172
1,4,A32,A40,1494,1,29,A143,A152,1,A172
2,36,A31,A42,2746,4,31,A141,A152,1,A173
1,12,A32,A42,708,2,38,A143,A152,1,A172
1,24,A32,A42,4351,1,48,A143,A152,1,A172
1,12,A34,A46,701,4,32,A143,A152,2,A173
1,15,A33,A42,3643,1,27,A143,A152,2,A172
2,30,A34,A40,4249,4,28,A143,A152,2,A174
2,24,A32,A43,1938,4,32,A143,A152,1,A173
1,24,A32,A41,2910,2,34,A143,A153,1,A174
1,18,A32,A42,2659,4,28,A143,A152,1,A173
1,18,A34,A40,1028,4,36,A143,A152,2,A173
1,8,A34,A40,3398,1,39,A143,A152,2,A172
1,12,A34,A42,5801,2,49,A143,A151,1,A173
1,24,A32,A40,1525,4,34,A143,A152,1,A173
1,36,A32,A43,4473,4,31,A143,A152,1,A173
1,6,A32,A43,1068,4,28,A143,A152,1,A173
1,24,A34,A41,6615,2,75,A143,A153,2,A174
2,18,A34,A46,1864,4,30,A143,A152,2,A173
2,60,A32,A40,7408,4,24,A143,A152,1,A174
2,48,A34,A41,11590,2,24,A141,A151,2,A172
2,24,A30,A42,4110,3,23,A141,A151,2,A173
2,6,A34,A42,3384,1,44,A143,A151,1,A174
1,13,A32,A43,2101,2,23,A143,A152,1,A172
2,15,A32,A44,1275,4,24,A143,A151,1,A173
1,24,A32,A42,4169,4,28,A143,A152,1,A173
1,10,A32,A42,1521,4,31,A143,A152,1,A172
1,24,A34,A46,5743,2,24,A143,A153,2,A173
1,21,A32,A42,3599,1,26,A143,A151,1,A172
1,18,A32,A43,3213,1,25,A143,A151,1,A173
1,18,A32,A49,4439,1,33,A141,A152,1,A174
1,10,A32,A40,3949,1,37,A143,A152,1,A172
1,15,A34,A43,1459,4,43,A143,A152,1,A172
1,13,A34,A43,882,4,23,A143,A152,2,A173
1,24,A32,A43,3758,1,23,A143,A151,1,A171
1,6,A33,A49,1743,1,34,A143,A152,2,A172
2,9,A34,A46,1136,4,32,A143,A153,2,A173
1,9,A32,A44,1236,1,23,A143,A151,1,A173
2,9,A32,A42,959,1,29,A143,A152,1,A173
1,18,A34,A41,3229,2,38,A143,A152,1,A174
2,12,A30,A43,6199,4,28,A143,A151,2,A173
1,10,A32,A46,727,4,46,A143,A153,1,A173
2,24,A32,A40,1246,4,23,A142,A152,1,A172
1,12,A34,A43,2331,1,49,A143,A152,1,A173
2,36,A33,A43,4463,4,26,A143,A152,2,A174
1,12,A32,A43,776,4,28,A143,A152,1,A173
2,30,A32,A42,2406,4,23,A143,A151,1,A173
1,18,A32,A46,1239,4,61,A143,A153,1,A173
1,12,A32,A43,3399,2,37,A143,A152,1,A174
1,12,A33,A40,2247,2,36,A142,A152,2,A173
1,6,A32,A42,1766,1,21,A143,A151,1,A173
2,18,A32,A42,2473,4,25,A143,A152,1,A171
1,12,A32,A49,1542,2,36,A143,A152,1,A173
1,18,A34,A41,3850,3,27,A143,A152,2,A173
1,18,A32,A42,3650,1,22,A143,A151,1,A173
2,36,A32,A42,3446,4,42,A143,A152,1,A173
1,18,A32,A42,3001,2,40,A143,A151,1,A173
1,36,A32,A40,3079,4,36,A143,A152,1,A173
1,18,A34,A43,6070,3,33,A143,A152,2,A173
1,10,A34,A42,2146,1,23,A143,A151,2,A173
1,60,A34,A40,13756,2,63,A141,A153,1,A174
2,60,A31,A410,14782,3,60,A141,A153,2,A174
2,48,A31,A49,7685,2,37,A143,A151,1,A173
1,18,A33,A43,2320,2,34,A143,A152,2,A173
1,7,A33,A43,846,3,36,A143,A153,1,A173
2,36,A32,A40,14318,4,57,A143,A153,1,A174
1,6,A34,A40,362,4,52,A143,A152,2,A172
1,20,A32,A42,2212,4,39,A143,A152,1,A173
2,18,A32,A41,12976,3,38,A143,A153,1,A174
1,22,A32,A40,1283,4,25,A143,A151,1,A173
1,12,A32,A40,1330,4,26,A143,A152,1,A173
1,30,A33,A49,4272,2,26,A143,A152,2,A172
1,18,A34,A43,2238,2,25,A143,A152,2,A173
1,18,A32,A43,1126,4,21,A143,A151,1,A173
1,18,A34,A42,7374,4,40,A142,A152,2,A174
1,15,A34,A49,2326,2,27,A141,A152,1,A173
1,9,A32,A49,1449,3,27,A143,A152,2,A173
1,18,A32,A40,1820,2,30,A143,A152,1,A174
1,12,A32,A42,983,1,19,A143,A151,1,A172
1,36,A32,A40,3249,2,39,A141,A153,1,A174
1,6,A34,A43,1957,1,31,A143,A152,1,A173
1,9,A34,A42,2406,2,31,A143,A152,1,A174
1,39,A33,A46,11760,2,32,A143,A151,1,A173
1,12,A32,A42,2578,3,55,A143,A153,1,A174
1,36,A34,A42,2348,3,46,A143,A152,2,A173
2,12,A32,A40,1223,1,46,A143,A151,2,A173
1,24,A34,A43,1516,4,43,A143,A152,2,A172
1,18,A32,A43,1473,3,39,A143,A152,1,A173
1,18,A34,A49,1887,4,28,A141,A152,2,A173
2,24,A33,A49,8648,2,27,A141,A152,2,A173
1,14,A33,A40,802,4,27,A143,A152,2,A172
1,18,A33,A40,2899,4,43,A143,A152,1,A173
2,24,A32,A43,2039,1,22,A143,A152,1,A173
1,24,A34,A41,2197,4,43,A143,A152,2,A173
1,15,A32,A43,1053,4,27,A143,A152,1,A173
1,24,A32,A43,3235,3,26,A143,A152,1,A174
2,12,A34,A40,939,4,28,A143,A152,3,A173
1,24,A32,A43,1967,4,20,A143,A152,1,A173
1,33,A34,A41,7253,3,35,A143,A152,2,A174
2,12,A34,A49,2292,4,42,A142,A152,2,A174
1,10,A32,A40,1597,3,40,A143,A151,1,A172
2,24,A32,A40,1381,4,35,A143,A152,1,A173
1,36,A34,A41,5842,2,35,A143,A152,2,A173
2,12,A32,A40,2579,4,33,A143,A152,1,A172
1,18,A33,A46,8471,1,23,A143,A151,2,A173
1,21,A32,A40,2782,1,31,A141,A152,1,A174
2,18,A32,A40,1042,4,33,A143,A152,1,A173
1,15,A32,A40,3186,2,20,A143,A151,1,A173
1,12,A32,A41,2028,4,30,A143,A152,1,A173
1,12,A34,A40,958,2,47,A143,A152,2,A172
1,21,A33,A42,1591,4,34,A143,A152,2,A174
2,12,A32,A42,2762,1,25,A141,A152,1,A173
1,18,A32,A41,2779,1,21,A143,A151,1,A173
1,28,A34,A43,2743,4,29,A143,A152,2,A173
1,18,A34,A43,1149,4,46,A143,A152,2,A173
1,9,A32,A42,1313,1,20,A143,A152,1,A173
2,18,A34,A45,1190,2,55,A143,A153,3,A171
1,5,A32,A49,3448,1,74,A143,A152,1,A172
2,24,A32,A410,11328,2,29,A141,A152,2,A174
1,6,A34,A42,1872,4,36,A143,A153,3,A174
1,24,A34,A45,2058,4,33,A143,A152,2,A173
1,9,A32,A42,2136,3,25,A143,A152,1,A173
2,12,A32,A43,1484,2,25,A143,A152,1,A173
1,6,A32,A45,660,2,23,A143,A151,1,A172
1,24,A34,A40,1287,4,37,A143,A152,2,A173
1,42,A34,A45,3394,4,65,A143,A152,2,A171
2,12,A31,A49,609,4,26,A143,A152,1,A171
1,12,A32,A40,1884,4,39,A143,A152,1,A174
1,12,A32,A42,1620,2,30,A143,A152,1,A173
1,20,A33,A410,2629,2,29,A141,A152,2,A173
2,12,A32,A46,719,4,41,A141,A152,1,A172
2,48,A34,A42,5096,2,30,A143,A152,1,A174
1,9,A34,A46,1244,4,41,A143,A151,2,A172
2,36,A32,A40,1842,4,34,A143,A152,1,A173
1,7,A32,A43,2576,2,35,A143,A152,1,A173
1,12,A32,A42,1424,3,55,A143,A152,1,A174
2,15,A33,A45,1512,3,61,A142,A152,2,A173
1,36,A34,A41,11054,4,30,A143,A152,1,A174
1,6,A32,A43,518,3,29,A143,A152,1,A173
1,12,A30,A42,2759,2,34,A143,A152,2,A173
1,24,A32,A41,2670,4,35,A143,A152,1,A174
2,24,A32,A40,4817,2,31,A143,A152,1,A173
1,24,A32,A41,2679,4,29,A143,A152,1,A174
1,11,A34,A40,3905,2,36,A143,A151,2,A173
2,12,A32,A41,3386,3,35,A143,A153,1,A173
1,6,A32,A44,343,4,27,A143,A152,1,A173
1,18,A32,A43,4594,3,32,A143,A152,1,A173
1,36,A32,A42,3620,1,37,A143,A152,1,A173
1,15,A32,A40,1721,2,36,A143,A152,1,A173
1,12,A32,A42,3017,3,34,A143,A151,1,A174
1,12,A32,A48,754,4,38,A143,A152,2,A173
1,18,A32,A49,1950,4,34,A142,A152,2,A173
1,24,A32,A41,2924,3,63,A141,A152,1,A173
2,24,A33,A43,1659,4,29,A143,A151,1,A172
1,48,A33,A43,7238,3,32,A141,A152,2,A173
1,33,A33,A49,2764,2,26,A143,A152,2,A173
1,24,A33,A41,4679,3,35,A143,A152,2,A172
2,24,A32,A43,3092,3,22,A143,A151,1,A173
2,6,A32,A46,448,4,23,A143,A152,1,A173
2,9,A32,A40,654,4,28,A143,A152,1,A172
1,6,A32,A48,1238,4,36,A143,A152,1,A174
2,18,A34,A43,1245,4,33,A143,A152,1,A173
2,18,A30,A42,3114,1,26,A143,A151,1,A173
1,39,A32,A41,2569,4,24,A143,A152,1,A173
1,24,A32,A43,5152,4,25,A141,A152,1,A173
1,12,A32,A49,1037,3,39,A143,A152,1,A172
1,15,A34,A42,1478,4,44,A143,A152,2,A173
1,12,A34,A43,3573,1,23,A143,A152,1,A172
1,24,A32,A40,1201,4,26,A143,A152,1,A173
1,30,A32,A42,3622,4,57,A143,A151,2,A173
1,15,A33,A42,960,3,30,A143,A152,2,A173
1,12,A34,A40,1163,4,44,A143,A152,1,A173
2,6,A33,A40,1209,4,47,A143,A152,1,A174
1,12,A32,A43,3077,2,52,A143,A152,1,A173
1,24,A32,A40,3757,4,62,A143,A153,1,A173
1,10,A32,A40,1418,3,35,A143,A151,1,A172
1,6,A32,A40,3518,2,26,A143,A151,1,A173
1,12,A34,A43,1934,2,26,A143,A152,2,A173
2,27,A30,A49,8318,2,42,A143,A153,2,A174
1,6,A34,A43,1237,1,27,A143,A152,2,A173
1,6,A32,A43,368,4,38,A143,A152,1,A173
1,12,A34,A40,2122,3,39,A143,A151,2,A172
2,24,A32,A42,2996,2,20,A143,A152,1,A173
2,36,A32,A42,9034,4,29,A143,A151,1,A174
