CreditStatus,Duration,CreditAmount,Age,InstallmentRate,NumExistingCredits,CreditHistory,Purpose,OtherInstallmentPlans,Housing,Job
Status_Bad,Duration_Medium,Amount_High,Age_Middle,Rate_Low,Credits_1,A32,A41,A143,A153,A174
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_Medium,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_High,Credits_1,A32,A43,A143,A151,A173
Status_Good,Duration_Short,Amount_Medium,Age_Senior,Rate_VeryHigh,Credits_MoreThan1,A34,A40,A143,A151,A172
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A34,A41,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_High,Credits_MoreThan1,A34,A42,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_VeryHigh,Credits_1,A32,A42,A141,A152,A172
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_1,A30,A43,A143,A152,A172
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Medium,Credits_MoreThan1,A31,A43,A143,A151,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A32,A43,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Senior,Rate_Medium,Credits_MoreThan1,A33,A49,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A32,A49,A141,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_High,Credits_1,A32,A42,A142,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_High,Credits_MoreThan1,A32,A40,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_1,A34,A49,A143,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_1,A32,A42,A141,A152,A174
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A172
Status_Good,Duration_Long,Amount_High,Age_Middle,Rate_VeryHigh,Credits_1,A34,A46,A141,A153,A173
Status_Bad,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A32,A43,A142,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_High,Credits_1,A32,A44,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A141,A152,A174
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Medium,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_High,Credits_1,A33,A45,A143,A152,A172
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_MoreThan1,A34,A41,A143,A151,A173
Status_Bad,Duration_Long,Amount_High,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A41,A142,A153,A172
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A174
Status_Good,Duration_Long,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_VeryHigh,Credits_1,A32,A41,A143,A151,A171
Status_Good,Duration_Short,Amount_High,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A34,A40,A143,A152,A172
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A33,A42,A141,A152,A172
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_MoreThan1,A33,A41,A143,A152,A174
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Medium,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_High,Credits_1,A32,A41,A143,A152,A173
Status_Bad,Duration_Long,Amount_Medium,Age_Senior,Rate_Low,Credits_MoreThan1,A33,A40,A141,A153,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_VeryHigh,Credits_1,A31,A40,A142,A152,A172
Status_Bad,Duration_Short,Amount_High,Age_Senior,Rate_High,Credits_1,A32,A43,A143,A152,A174
Status_Good,Duration_Long,Amount_High,Age_Middle,Rate_High,Credits_MoreThan1,A34,A43,A142,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Medium,Credits_1,A32,A40,A143,A152,A174
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_MoreThan1,A34,A42,A143,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_High,Credits_1,A32,A49,A141,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Bad,Duration_Long,Amount_Medium,Age_Senior,Rate_Low,Credits_1,A30,A49,A143,A153,A174
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_High,Credits_1,A30,A49,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Senior,Rate_Low,Credits_MoreThan1,A32,A45,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_High,Credits_1,A32,A43,A141,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A40,A143,A152,A173
Status_Bad,Duration_Long,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A32,A46,A142,A153,A173
Status_Good,Duration_Long,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_1,A32,A41,A141,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A43,A143,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Medium,Credits_MoreThan1,A34,A410,A141,A153,A174
Status_Good,Duration_Long,Amount_High,Age_Middle,Rate_High,Credits_MoreThan1,A34,A49,A141,A152,A172
Status_Bad,Duration_Long,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A32,A46,A143,A152,A174
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A41,A143,A153,A174
Status_Bad,Duration_Long,Amount_High,Age_Middle,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_High,Age_Senior,Rate_High,Credits_1,A33,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Middle,Rate_High,Credits_1,A30,A41,A143,A152,A172
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_High,Credits_1,A32,A42,A143,A152,A173
Status_Bad,Duration_Medium,Amount_High,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Senior,Rate_Low,Credits_1,A32,A43,A142,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Medium,Credits_1,A32,A49,A143,A151,A172
Status_Good,Duration_Medium,Amount_Medium,Age_Senior,Rate_Low,Credits_1,A32,A410,A143,A152,A172
Status_Good,Duration_Short,Amount_Medium,Age_Senior,Rate_Medium,Credits_1,A32,A43,A143,A152,A172
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_MoreThan1,A34,A49,A143,A152,A174
Status_Good,Duration_Medium,Amount_Low,Age_Young,Rate_Low,Credits_MoreThan1,A34,A42,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Senior,Rate_VeryHigh,Credits_1,A32,A46,A143,A153,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A40,A143,A152,A174
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_MoreThan1,A30,A45,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_1,A34,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_1,A34,A41,A143,A152,A173
Status_Bad,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_1,A34,A43,A141,A152,A172
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_Low,Credits_MoreThan1,A34,A42,A143,A151,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_1,A32,A40,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Senior,Rate_Medium,Credits_1,A30,A49,A143,A151,A173
Status_Good,Duration_Short,Amount_Medium,Age_Senior,Rate_Low,Credits_1,A34,A46,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A32,A49,A143,A152,A173
Status_Good,Duration_Long,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A34,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_Medium,Credits_MoreThan1,A33,A41,A141,A151,A174
Status_Good,Duration_Medium,Amount_Low,Age_Middle,Rate_Low,Credits_1,A32,A40,A143,A151,A172
Status_Good,Duration_Long,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A151,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Medium,Credits_1,A33,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A34,A42,A143,A151,A173
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_High,Credits_1,A32,A41,A143,A151,A173
Status_Bad,Duration_Medium,Amount_High,Age_Middle,Rate_High,Credits_MoreThan1,A34,A410,A143,A152,A174
Status_Bad,Duration_Medium,Amount_High,Age_Middle,Rate_High,Credits_MoreThan1,A31,A40,A141,A152,A174
Status_Good,Duration_Short,Amount_High,Age_Middle,Rate_High,Credits_1,A32,A40,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_VeryHigh,Credits_1,A32,A42,A143,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Middle,Rate_VeryHigh,Credits_1,A32,A49,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A33,A49,A141,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A46,A143,A151,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_Medium,Credits_1,A32,A40,A143,A151,A172
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_MoreThan1,A34,A40,A142,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Senior,Rate_Low,Credits_1,A34,A43,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A174
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_High,Credits_MoreThan1,A34,A42,A143,A151,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_MoreThan1,A34,A42,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A34,A40,A143,A152,A174
Status_Bad,Duration_Medium,Amount_Medium,Age_Young,Rate_Medium,Credits_MoreThan1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A41,A143,A151,A174
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_Medium,Credits_1,A32,A42,A143,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A40,A143,A153,A173
Status_Bad,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A42,A143,A151,A173
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_1,A32,A43,A143,A152,A172
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A45,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A41,A143,A152,A174
Status_Bad,Duration_Short,Amount_High,Age_Young,Rate_Medium,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_1,A32,A40,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_1,A33,A46,A142,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_High,Credits_MoreThan1,A32,A42,A141,A152,A172
Status_Good,Duration_Medium,Amount_Medium,Age_Senior,Rate_Low,Credits_MoreThan1,A32,A42,A141,A153,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_High,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_High,Credits_MoreThan1,A33,A41,A143,A152,A173
Status_Bad,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_1,A32,A43,A143,A152,A172
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A43,A141,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_High,Credits_1,A32,A43,A143,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_High,Credits_1,A32,A40,A143,A152,A171
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A174
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_Medium,Credits_1,A32,A43,A143,A152,A174
Status_Bad,Duration_Medium,Amount_Medium,Age_Young,Rate_High,Credits_1,A32,A42,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A34,A42,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_1,A31,A49,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_Medium,Credits_MoreThan1,A34,A42,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_High,Credits_1,A32,A43,A141,A153,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_VeryHigh,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_High,Credits_1,A34,A41,A143,A151,A173
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_Low,Credits_1,A33,A49,A143,A151,A174
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_High,Credits_1,A32,A42,A143,A151,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Medium,Credits_MoreThan1,A34,A45,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_1,A31,A48,A141,A152,A172
Status_Good,Duration_Medium,Amount_High,Age_Middle,Rate_High,Credits_MoreThan1,A32,A40,A141,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A34,A43,A143,A152,A172
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A34,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Young,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A32,A44,A143,A152,A173
Status_Good,Duration_Short,Amount_High,Age_Senior,Rate_High,Credits_1,A32,A40,A141,A153,A174
Status_Good,Duration_Long,Amount_Low,Age_Middle,Rate_Low,Credits_1,A32,A40,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_VeryHigh,Credits_1,A32,A42,A143,A152,A173
Status_Bad,Duration_Medium,Amount_Low,Age_Middle,Rate_Low,Credits_1,A32,A42,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A42,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_High,Credits_1,A32,A42,A143,A151,A173
Status_Bad,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A49,A143,A152,A173
Status_Bad,Duration_Medium,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A30,A40,A143,A151,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A42,A143,A152,A173
Status_Bad,Duration_Medium,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A33,A42,A143,A152,A174
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Bad,Duration_Medium,Amount_High,Age_Young,Rate_High,Credits_MoreThan1,A33,A46,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Senior,Rate_Low,Credits_1,A31,A41,A141,A152,A174
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_High,Credits_1,A32,A42,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A32,A43,A143,A151,A174
Status_Good,Duration_Medium,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_MoreThan1,A33,A49,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_High,Credits_MoreThan1,A33,A49,A142,A152,A174
Status_Bad,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A31,A40,A143,A152,A172
Status_Good,Duration_Medium,Amount_High,Age_Senior,Rate_Low,Credits_1,A34,A42,A143,A152,A173
Status_Bad,Duration_Medium,Amount_Low,Age_Middle,Rate_Low,Credits_1,A34,A40,A141,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Bad,Duration_Short,Amount_High,Age_Senior,Rate_High,Credits_1,A31,A41,A141,A153,A174
Status_Good,Duration_Medium,Amount_Low,Age_Senior,Rate_High,Credits_MoreThan1,A34,A40,A143,A153,A171
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A30,A42,A141,A152,A173
Status_Bad,Duration_Medium,Amount_High,Age_Senior,Rate_High,Credits_MoreThan1,A32,A49,A143,A152,A174
Status_Bad,Duration_Long,Amount_High,Age_Middle,Rate_Low,Credits_1,A30,A49,A143,A153,A172
Status_Bad,Duration_Long,Amount_High,Age_Middle,Rate_Low,Credits_1,A32,A49,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Young,Rate_High,Credits_1,A32,A43,A143,A151,A173
Status_Bad,Duration_Long,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A151,A173
Status_Bad,Duration_Short,Amount_Low,Age_Middle,Rate_High,Credits_MoreThan1,A34,A46,A143,A152,A174
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_VeryHigh,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_MoreThan1,A32,A42,A141,A151,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_1,A32,A41,A141,A153,A173
Status_Bad,Duration_Medium,Amount_High,Age_Middle,Rate_Low,Credits_1,A33,A42,A143,A152,A174
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Low,Credits_MoreThan1,A34,A46,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A40,A143,A152,A172
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_Medium,Credits_MoreThan1,A33,A49,A143,A152,A173
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A48,A143,A151,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A40,A143,A152,A172
Status_Good,Duration_Long,Amount_High,Age_Middle,Rate_Medium,Credits_MoreThan1,A34,A41,A143,A153,A174
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A42,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A34,A44,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_High,Credits_1,A32,A49,A142,A152,A172
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_Medium,Credits_1,A32,A41,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Middle,Rate_High,Credits_1,A32,A43,A143,A152,A172
Status_Bad,Duration_Long,Amount_High,Age_Senior,Rate_High,Credits_MoreThan1,A30,A49,A142,A152,A173
Status_Bad,Duration_Long,Amount_Medium,Age_Senior,Rate_Low,Credits_1,A33,A49,A143,A152,A174
Status_Good,Duration_Long,Amount_Medium,Age_Senior,Rate_Low,Credits_1,A34,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_VeryHigh,Credits_MoreThan1,A34,A48,A143,A152,A172
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A30,A49,A141,A152,A173
Status_Good,Duration_Long,Amount_High,Age_Young,Rate_High,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_High,Credits_1,A32,A42,A143,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Senior,Rate_High,Credits_1,A32,A40,A143,A152,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A43,A141,A152,A172
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A46,A141,A151,A173
Status_Good,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_MoreThan1,A32,A43,A141,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Middle,Rate_Low,Credits_MoreThan1,A33,A49,A143,A152,A173
Status_Good,Duration_Medium,Amount_High,Age_Young,Rate_Medium,Credits_1,A32,A41,A143,A152,A173
Status_Good,Duration_Long,Amount_Medium,Age_Young,Rate_Low,Credits_MoreThan1,A30,A45,A143,A152,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_VeryHigh,Credits_MoreThan1,A32,A43,A141,A152,A173
Status_Bad,Duration_Short,Amount_High,Age_Senior,Rate_Low,Credits_1,A32,A42,A143,A153,A174
Status_Bad,Duration_Short,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A42,A141,A153,A173
Status_Bad,Duration_Long,Amount_High,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Short,Amount_Medium,Age_Senior,Rate_High,Credits_1,A32,A40,A143,A153,A172
Status_Good,Duration_Short,Amount_Medium,Age_Middle,Rate_Medium,Credits_1,A32,A43,A143,A152,A173
Status_Good,Duration_Medium,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A43,A143,A152,A172
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_High,Credits_MoreThan1,A34,A43,A143,A152,A172
Status_Bad,Duration_Medium,Amount_Medium,Age_Young,Rate_Low,Credits_1,A32,A43,A142,A152,A174
Status_Bad,Duration_Short,Amount_High,Age_Young,Rate_VeryHigh,Credits_1,A32,A40,A143,A152,A171
Status_Bad,Duration_Medium,Amount_Medium,Age_Senior,Rate_Low,Credits_MoreThan1,A32,A49,A141,A151,A172
Status_Good,Duration_Short,Amount_Low,Age_Middle,Rate_Low,Credits_MoreThan1,A34,A43,A143,A152,A173
Status_Good,Duration_Long,Amount_Medium,Age_Middle,Rate_VeryHigh,Credits_1,A32,A43,A143,A152,A173
Status_Bad,Duration_Medium,Amount_Low,Age_Young,Rate_Low,Credits_1,A32,A40,A141,A152,A173
